Date,Hour,Interval,Wind Curtailment,Solar Curtailment,
1/1/2021,8,2,,15.20000076,
1/1/2021,8,3,,14.06999969,
1/1/2021,8,4,,20.60000038,
1/1/2021,8,7,,32.84999847,
1/1/2021,8,8,,31.50999832,
1/1/2021,8,9,,41.09999847,
1/1/2021,8,10,,31.5,
1/1/2021,8,11,,26.13999939,
1/1/2021,8,12,,28.56999969,
1/1/2021,9,1,,51.06000184,
1/1/2021,9,2,,47.09000016,
1/1/2021,9,3,,40.45999717,
1/1/2021,9,4,,31.19999695,
1/1/2021,9,5,,42.09,
1/1/2021,9,6,,61.31999555,
1/1/2021,9,7,16.290001,54.37000253,
1/1/2021,9,8,17.93000031,,
1/1/2021,9,9,12.80000019,,
1/1/2021,9,10,12.80000019,132.7101982,
1/1/2021,9,11,15.37999989,273.9720309,
1/1/2021,9,12,18.71000052,264.6939117,
1/1/2021,10,1,27.90000008,108.5346214,
1/1/2021,10,2,21.4900003,189.6496868,
1/1/2021,10,3,14.44000023,186.1317186,
1/1/2021,10,4,15.42999976,228.1477527,
1/1/2021,10,5,12.99000018,176.2743609,
1/1/2021,10,6,19.08999961,201.8290358,
1/1/2021,10,7,32.93000013,432.1834763,
1/1/2021,10,8,2.84000004,657.1408372,
1/1/2021,10,9,11.57000009,683.5650593,
1/1/2021,10,10,1.71,883.636691,
1/1/2021,10,11,3.4000001,689.3154187,
1/1/2021,10,12,16.89000013,543.7360614,
1/1/2021,11,1,15.75,298.8104685,
1/1/2021,11,2,,273.070493,
1/1/2021,11,3,4.64999919,254.8548612,
1/1/2021,11,4,7.06000027,321.7826218,
1/1/2021,11,5,12.31000027,305.3482533,
1/1/2021,11,6,7.31000027,278.9368263,
1/1/2021,11,7,7.35000023,226.156944,
1/1/2021,11,8,3.7400001,201.6534107,
1/1/2021,11,9,3.62999996,212.4277049,
1/1/2021,11,10,,211.5728413,
1/1/2021,11,11,,216.7421227,
1/1/2021,11,12,,215.516294,
1/1/2021,12,1,,156.2281722,
1/1/2021,12,2,,142.5683567,
1/1/2021,12,3,1.73,114.9088199,
1/1/2021,12,4,,198.357671,
1/1/2021,12,5,,169.4573135,
1/1/2021,12,6,2.786226941,190.4709675,
1/1/2021,12,7,1.11000001,335.9817695,
1/1/2021,12,8,,339.0338523,
1/1/2021,12,9,,349.3385319,
1/1/2021,12,10,,391.5181624,
1/1/2021,12,11,,385.9199149,
1/1/2021,12,12,,377.3466636,
1/1/2021,13,1,1.59000003,361.4085843,
1/1/2021,13,2,1.61000001,361.2253526,
1/1/2021,13,3,1.96000004,377.8227763,
1/1/2021,13,4,1.63,398.5480609,
1/1/2021,13,5,,443.1306916,
1/1/2021,13,6,,404.1179669,
1/1/2021,13,7,2.1400001,529.90533,
1/1/2021,13,8,1.63999999,478.7763503,
1/1/2021,13,9,1.69000006,512.8869704,
1/1/2021,13,10,,538.5846219,
1/1/2021,13,11,,494.1935359,
1/1/2021,13,12,,547.2998797,
1/1/2021,14,1,1.900073,414.5603759,
1/1/2021,14,2,1.50999999,371.0820936,
1/1/2021,14,3,1.87,391.1755632,
1/1/2021,14,4,1.41999996,403.1896176,
1/1/2021,14,5,1.42999995,410.6647201,
1/1/2021,14,6,4.5,388.2746527,
1/1/2021,14,7,,470.2852537,
1/1/2021,14,8,,406.0782404,
1/1/2021,14,9,,386.5459348,
1/1/2021,14,10,,387.0099959,
1/1/2021,14,11,4.3499999,385.2399976,
1/1/2021,14,12,,389.7999973,
1/1/2021,15,1,,445.7274187,
1/1/2021,15,2,1.35000002,426.1948696,
1/1/2021,15,3,1.38999999,393.8578808,
1/1/2021,15,4,1.38999999,426.740303,
1/1/2021,15,5,1.40999997,419.4834414,
1/1/2021,15,6,,399.3665716,
1/1/2021,15,7,,387.0700009,
1/1/2021,15,8,,357.2952514,
1/1/2021,15,9,,364.7374914,
1/1/2021,15,10,,307.5693822,
1/1/2021,15,11,,265.5301265,
1/1/2021,15,12,,212.5086264,
1/1/2021,16,1,,36.50810961,
1/2/2021,8,2,,8.42000008,
1/2/2021,8,3,,7.18000031,
1/2/2021,8,4,,12.56999969,
1/2/2021,8,7,,23.01000023,
1/2/2021,9,5,,1.75480227,
1/2/2021,9,10,71.040001,,
1/2/2021,9,11,65.26000214,2.92014906,
1/2/2021,9,12,64.01000214,,
1/2/2021,10,4,73.53545119,,
1/2/2021,10,5,98.40000153,,
1/2/2021,10,6,74.30000305,,
1/2/2021,10,7,62.59000015,,
1/2/2021,10,8,60.84000015,,
1/2/2021,10,9,53.54411127,,
1/2/2021,10,10,81.26999664,,
1/2/2021,10,11,79.84999847,,
1/2/2021,10,12,70.23999786,,
1/2/2021,11,1,66.23999786,,
1/2/2021,11,2,49.54000092,,
1/2/2021,11,3,58.13999939,,
1/2/2021,11,4,57.15999985,,
1/2/2021,11,8,21.84,,
1/2/2021,11,12,21.92,,
1/2/2021,12,1,30.5,,
1/2/2021,12,3,24.96999931,,
1/2/2021,12,7,46.450001,85.06098747,
1/2/2021,12,8,53.77000046,21.54000061,
